Title,Abstract,SDG_Labels,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17
(In)decent Work for All? How the Decriminalisation of Sex Work Is Crucial to Achieving the SDGs,"Goal 8 of the UN’s Sustainable Development Goals (SDGs) aims to promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all. While economic growth may be a quantifiable target, the promotion of ‘decent’ work is more troublesome, as it comes with connotations of morality and respectability. In many places, the sex industry is constructed as the very opposite of ‘decent’—criminalised, stigmatised and warranting intervention, regulation and punishment. Yet, in this chapter, I argue that despite its reputation as ‘indecent’, the sex industry is one of the more inclusive forms of employment, particularly amongst migrant or disabled workers, who are often excluded from other ‘decent’ forms of work. This chapter takes a broad, global approach in understanding the construction of sex work outside of dominant, Western perspectives. Using a sex-positive perspective and incorporating sex worker testimony, sex work is reimagined as the viable strategy of income generation, economic participation and productive employment that it represents for many workers. Viewed through this lens, it becomes imperative that sex workers are included in the goal to promote safe and secure working environments for all workers. Much has been written about the vulnerability of sex workers, yet this is fuelled by their status as operating outside the bounds of ‘decent’ employment, as criminal, deviant or disreputable—in short, as workers who do not matter. Goal 8 must really apply to all workers, as stated, or risk perpetuating inequality and exclusion for the very groups it aims to support. Therefore, to ensure safe workplaces and labour rights and to advance the ability of marginalised groups to participate in employment, this chapter argues that the UN must advocate for the full decriminalisation of sex work around the world as part of the SDGs.",8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11th Annual International Research Conference of Symbiosis Institute of Management Studies, SIMSARC 2020",The proceedings contain 19 papers. The special focus in this conference is on Symbiosis Institute of Management Studies. The topics include: A Robot Maker for Health Sector; prevalence of Emotional and Financial Stress Among Management Students; a Study on Perception of Students Towards Online Classes in India; Prospects of FDI-Driven R&D—A Comparison Between Indian and Foreign Pharmaceutical Firms; AI as a Tool in Internal Communication to Reduce Employee Attrition Rate in India; world Income Classification and Emissions: A Study of the Relationship Using Machine Learning Techniques; impact of Soft Skills Training on Knowledge and Work Performance of Employees in Service Organizations; are Recreational Activities Really Recreational at the Workplace?; a Study to Analyze Use of Social Media by Private and Public Sector Banks in India; green Employee Scorecard—A Conceptual Model to Align Individual Green Performance and Organizational Sustainability Goals; return Dynamics and Volatility Spill Over Effects of Stock Markets in G20 Countries; indian Knowledge Tradition and Research; vipassana Meditation: An Effective Way to Enhance Employee Contribution in Fostering Organizational Growth; Factors Affecting the Growing Economic Inequality: An Empirical Study with Reference to BRICS Countries; can Effective E-Government Implementation Disrupt Corruption? An Exploratory Study; moderation of Income and Age on Customer Purchase Intention of Green Cosmetics in Bangalore.,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18. THE WORLD BANK, NGOS AND THE STATE OF DEVELOPMENT IN SUB-SAHARAN AFRICA: IMPLICATIONS FOR ALLEVIATING POVERTY AND ADVANCING SOCIETAL REFORM","For the past three decades, 1970s, 1980s and 1990s, the International Financial Institutions (IFI - World Bank and IMF) have imposed various policies on developing countries, especially in sub-Saharan Africa ostensibly to reduce poverty and stimulate economic growth. As outlined in this chapter, all such policies have failed as indicated by the level of poverty, indebtedness, and heavy dependence on foreign aid of countries in the region by the early 2000s. An example of a failed policy is that of the structural adjustment programs (SAPs). In the 1980s and 1990s governments in sub-region hit by the debt crisis were required by the World Bank and the International Monetary fund to implement SAPs in order for existing loans to be rescheduled and new loans/grants to be given. SAPs were packages of policy reforms that aimed to achieve macro-economic stability and export led growth, on the assumption that this would reduce poverty. SAP involved structural policy reforms such as the privatization of state owned enterprises, removal of subsidies for domestic industry, agriculture and liberalization of international trade through the reduction/removal of import duties. SAPs also included monetary reforms such as currency devaluation, liberalization of the financial sector, and tightened fiscal discipline through, for example, public sector wage cuts or introduction of user fees for health and education service (Elu, 2000). However, after three decades of practicing structural adjustment, the programs resulted in limited economic growth, increased income inequalities and in some cases reduced access to health care and education for the vast majority of the population (World Bank, 2003). Designed in Washington, the programs undermined national ownership of policy making, through adopting externally imposed reforms. As outlined in the chapter, SAPs were a failure as economic growth in many countries in sub-Saharan Africa stalled and in certain states disintegrated. A recent (2004) World Economic Forum (WEF) report indicated that income per head has fallen by 11% in the sub-region since 1974 (WEF, 2003). By the late 1990s there was a global outcry over the devastating effects of poor country debt and over the failure of SAPs to reduce poverty (Elu, 2000; Riddell, 1992, 1999). The World Bank and the International Monetary Fund moved away from SAPs and adopted a new approach - Poverty Reduction Strategy Papers (PRSPs). Under this new approach national governments are to develop their own national poverty reduction strategy as the basis for accessing lending and aid grants from international donors. On paper, one of the key elements of PRSP is ""national ownership."" For a PRSP to be nationally owned strategies are to be developed with broad-based participation from civil society. In practice, PRSP is an externally imposed requirement that governments must produce to access financing and which the World Bank has to approve. It is paradoxical to call PRSP country-driven when governments have chosen policies the IFIs will approve rather than making policy choices based on the views put forward by citizens (Sutton, 1996). PRSP contents reflect the dominance of IFI policy prescriptions instead of the priorities of the poor. Policies opposed by the poor (such as user fees for education and healthcare) are common, while policies the poor want are not included (free schooling and health care). The World Bank/IMF guidelines for writing the PRSP are considered to have strong neo-liberal assumptions resulting in neo-liberal policy recommendations. This coupled with the need for IFI approval, gives the IFIs inordinate power over the contents of national PRSPs. Despite the macro policy contents of PRSPs, in essence the same discredited structural adjustment policies are being re-imposed. International Financial Institutions continue to be unwilling to seek or consider policy alternatives and continue to assume that structural adjustment policies automatically contribute to poverty reduction without thorough analysis of the likely poverty effect at country level. The promised reduction in conditionalities has not been forthcoming. The insufficiency of debt relief coupled with inadequate development assistance and the unreliability of both debt relief and aid flows renders the planning and implementation of PRSPs difficult. The debt relief currently being supplied through HIPC is insufficient to enable the required levels of growth and reduce poverty. After receiving debt relief most HIPC countries will continue to have unsustainable external debt whilst increasing their internal debt as illustrated in Table 1. Donors however, continue to use the debt sustainability approach rather than working for debt cancellation. Unpredictable aid transfers also lead to programs not being implemented Fig. 11 indicates the new pattern of aid flow. During the 1990s, aid to Africa fell by a third, from $17bn at the start of the decade to $12bn at the end (Lusekelo, 2004). Uncertainty over and fluctuations in donor fulfillment of pledges renders planning extremely difficult, yet there are no sanctions on donors who default or delay payment. Women, children, indigenous groups and those infected or affected by HIV/AIDS are often disproportionately hit by the negative social impacts of economic policies. Despite this their situations are not considered neither are special measures targeted at them under PRSPs. In the end, countries in sub-Saharan Africa have replaced one set of conditionalities for another, without any improvement in living conditions for women, the poor, the elderly and children. As stated by the former United Kingdom (U.K.) International Development Minister, Clare Short, ""Africa is the poorest continent and it's getting poorer.""13. © 2006 Elsevier Ltd. All rights reserved.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022 Multiple-country Monkeypox Outbreak and Its Importation Risk into China: An Assessment Based on the Risk Matrix Method,"Objective: To analyze the 2022 multiple-country monkeypox outbreak and assess its importation risk into China. Methods: Data was from United States Centers for Disease Control and Prevention. We described the global epidemic and calculated concentration index to measure economic-related inequality. Importation risk into China was evaluated and ranked by using risk matrix method and Borda count method, respectively. Results: As of July 29, 2022, of 79 countries or territories, 39 (49.37%, 39/79), 17 (21.52%, 17/79), 6 (7.59%, 6/79), 12 (15.19%, 12/79), and 5 (6.33%, 5/79) country or territories identified cases < 10, 10–, 51–, 101–, and > 1,000. There were economic-related health disparities exist in the distribution of cases (the concentration index = 0.42, P = 0.027), and the inequality disadvantageous to the rich (pro-poor). There were 12 (15.38%, 12/78), 15 (19.23%, 15/78), 6 (7.69%, 6/78), and 45 (57.69%, 45/78) countries or territories with extremely high, high, moderate, and low importation risk. United States and France ranked first with the highest Borda points of 156, and counts of zero. Conclusion: Of 78 countries or territories, the key attention need be paid to the United States and France, relatively. As the epidemic progresses, preparing prevention and control measures to further reduce importation risk was crucial.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2030 SDGs IN ARGENTINA: A Look at State Response to the COVID-19 Pandemic,"This chapter presents the Argentine State’s response to the COVID-19 pandemic, particularly in areas pertaining to Sustainable Development Goal (SDG) 1 - ending poverty - and SDG 2 - to end hunger, achieve food security and improved nutrition and promote sustainable agriculture. The 17 SDGs are intended to be a global instrument to eradicate poverty and reduce inequalities and vulnerabilities, within the sustainable human development paradigm. The pandemic highlighted, amplified and deepened social dynamics that put a strain on the state’s capacity to manage the public sector and challenged democratic institutionality. This situation led to a reassessment of the national state’s role and the measures required to solve it. On the one hand, public policies aimed at boosting reactivation and attending to the economic sectors most affected by the crisis were encouraged. On the other hand, public policies were designed to provide direct assistance to companies, workers and citizens. This revived the debate on basic rent or universal citizen income, the tax on large fortunes, and other economic compensation and redistribution measures. Our work is structured in three parts. The first one refers to the 2030 SDGs in Argentina, the second one deals with the measures taken by the national state and the third focuses on state intervention challenges and trends regarding the 2030 SDGs.",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Years of Rural Development in post-Soviet Central Asia: Sustaining Inequalities,"To show that post-Soviet rural development in Central Asia has been confronted with sustained inequalities, three particular factors are analysed in this paper have being viewed as fundamental in influencing national and rural development. Firstly, most countries have based their growth models on economic nationalism (not only creating borders and national institutions, but also choosing inward-looking strategies), while leaning one-sidedly on their natural resource wealth (carbohydrates such as oil, natural gas and minerals, but also industrial crops like cotton). Secondly, and related to the first explanatory factor, the region has been struck by hidden and open resource-based conflicts, in particular on land and water. Inter-state tensions have emerged, in particular between downstream (irrigation water dependent) countries, such as Turkmenistan and Uzbekistan, and the upstream (hydropower energy dependent, and carbohydrate-poor) ones, such as Tajikistan and Kyrgyzstan. Thirdly, all the countries analysed here have followed a rather unequal capital city-centric growth model, using the proceeds of exports of mineral wealth (or cotton) for rapid urbanisation with little or no investment in rural development, resulting in a growing urban-rural divide and increasing rural-urban and cross-border migration. While it is recognised that this region is indeed a bridge between West and East (also re-emphasised by the Chinese 'One Belt, One Road' initiative), it is argued in this paper that there is a need to reduce these inequalities and unbalanced growth, being that they will be an obstacle to the sustainable growth and development of rural areas.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35 years later: The MacBride report in the historical and intellectual context; 35 Let pozneje: Macbridovo poročilo v zgodovinskem in intelektualnem kontekstu,"The aim of this article is to situate the report of the International Commission for the Study of Communication Problems Many Voices, One World (more commonly known as the MacBride report) within its historic, social, political-economic and intellectual context. The report is regarded as one of the seminal interventions in the field of international communication, and aimed to reduce inequalities in the access to means of communication between countries as well as within them. The article argues that critical thought and its practical application are necessarily conditioned by the wider social context. This is evident in the case of the MacBride report as well as in the development of political economy of communication, which formed the basis of the call for a New World Information and Communication Order and of its most important document, the MacBride report.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3D printed sustainable low-cost materials for construction of affordable social housing in Brazil: Potential, challenges, and research needs","3D Concrete Printing (3DCP) is presented as an important process in the future of civil engineering, as it accelerates the construction process, reduces labor costs, and potentially generates significantly less waste materials. Currently, 3DCP has been delayed as a technical solution for Latin American. However, it could be an important option for tackling the housing deficit in developing countries as well. The deployment of 3DCP depends on many different local factors, either political, economic, or technological. This paper discusses the potential, challenges, and research needs to deploy 3DCP in Brazil. It starts presenting the Brazilian economic context in the struggle to reduce the housing deficit over the years. Then, the challenges related to the implementation of 3DCP are compared with the opportunities, such as the abundance of low-carbon materials (earth-based, biomass, etc.), which could turn 3DCP into a sustainable business. Although this review is focused on Brazil, the authors believe that the context also applies to many other developing countries with similar social inequality conditions.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3DKL v1.0: Creating the first 3D geological model of Kuala Lumpur,"The objective of UN Sustainable Development Goal 11 is to make cities and human settlements inclusive, safe, resilient and sustainable. Geoscience can play a significant role in achieving targets within this goal by developing a better understanding of geological properties and processes within urban environments, and by ensuring that this understanding is integrated into urban development. A key step in this process will be enhancing awareness of urban geology among non-geoscience decision-makers, so that inherent subsurface risks and benefits are understood and accounted for during all phases of development. Three-dimensional geological models are an effective tool for geologists to communicate with stakeholders in government and industry during that process. They can also provide a framework to enable geological data and information to be integrated into Building and City Information Models, and thus facilitate more effective infrastructure and utility asset management. This paper describes the modelling workflow adopted by a consortium of geoscientists from government, industry and academia to deliver the first 3D geological model of Kuala Lumpur – 3DKL v1.0. The modelling workflow involved: digitising borehole logs from site investigation reports and storing them in a dedicated geospatially-enabled SQLite borehole database; viewing and interpreting that borehole data using QGIS software; generating multiple orthogonally oriented cross-section profiles across the modelled area using Groundhog Desktop software; and integrating the information derived from the interpreted boreholes, surface data and cross-section profiles to generate a 3D geological model in Leapfrog Geo software. 3DKL v1.0 has demonstrated proof-of-concept: we have developed a workflow, based largely on freely-available software, for transforming borehole information, previously captured in paper records, into a conceptual 3D model. The modelling process has also identified areas where geological knowledge and data need to be enhanced if 3DKL is to fulfil its potential to support more sustainable and resilient urban development in Kuala Lumpur.",11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Bibliometric Analysis of Canadian Engineering Higher Education Institutions and the United Nations Sustainable Development Goals,"The seventeen Sustainable Development Goals (SDGs) were established by the United Nations General Assembly in 2015 with the resolution called the 2030 Agenda. They are a visionary blueprint to achieve a better and more sustainable future for all people and the world by 2030 (United Nations General Assembly, 2015). Each of the SDGs have measurable targets set out to achieve the goal. For example, targets related to SDG 7-Affordable and Clean Energy include things like: 1) By 2030 ensure universal access to affordable, reliable, and modern energy services and 2) By 2030 increase substantially the share of renewable energy in the global energy mix.",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Bibliometric Analysis of Women’s Empowerment Studies Post Sustainable Development Goal Adoption Periods (2015–2022),"Women’s empowerment has been identified as one of the key tools to ensure the achievement of the Sustainable Development Goals and an effective means to long-term economic growth and success. Given its importance, this article presents a bibliometric analysis of publications that focus on Sustainable Development Goal (SDG) 5, which aims to ‘achieve gender equality and empower all women and girls’. In developing this research, Web of Science databases were used to search for relevant articles, and a final sample of 1095 publications was extracted for this purpose. The findings of this study indicate that studies on women’s empowerment within the Sustainable Development Goals are gaining importance in both the developed and developing countries of the world. The results further revealed that there has been significant growth in scientific production on this topic, with the first quantum leap and highest production occurring in 2017 and 2021, respectively. Based on the co-occurrence of keywords, important terms such as autonomy, power, education, and employment were found to be relevant to this topic. In conclusion, this study provides an insight into the reality of scientific production on women’s empowerment topics following the adoption of the SDGs, with recommendations for its future development and support for policymakers in initiating relevant policies for women’s empowerment.",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"A Cross-sectional Study on Women Empowerment among Residents of Different Slum Settlements in a Ward of Kolkata, West Bengal","Background: The Sustainable Development Goal 5 focuses to 'Achieve gender equality and empower all women and girls.' Promoting women's empowerment is essential for reducing violence against women, decision-making in health and well-being, and proper upbringing of children, thereby reducing maternal and child mortality. Objectives: The objectives of this study were to assess the level of empowerment among married women residing in selected slum settlements of Kolkata, to estimate the proportion of employed women, to describe the pattern of decision-making among them, and to find the sociodemographic factors (if any) associated with the level of empowerment. Materials and Methods: A cross-sectional observational study was carried out among 350 married women using face-to-face interviews from October 2022 to September 2023. The study utilized a predesigned, pretested, and structured schedule consisting of questions adapted from the National Family Health Survey-5 women's questionnaire. Data analysis was conducted using SPSS version 25.0. Multivariable multinomial logistic regression was employed to identify factors associated with low and medium women empowerment. Results: Of the 334 participants surveyed, approximately half exhibited low levels of empowerment (49.7%). The majority of study participants reported that decisions pertaining to their own health care, significant household purchases, visits to family or relatives, and voting in elections were made jointly by both spouses. The age of the respondent between 19 and 28 years (adjusted odds ratio [AOR] 4.54 [1.09-18.80]) and the age of husband between 35 and 48 years (AOR 4.48 [1.46-8.28]) had statistically significant higher AOR of low women empowerment. Conclusion: A substantial proportion of women in the study had low empowerment scores and less than one-fifth were employed. Increasing employment opportunities for women and promoting their social participation is recommended.",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A DISCOURSE ANALYSIS OF CAREER EXPERIENCES OF WOMEN IN THE DEVELOPING COUNTRY,"The efforts to reduce the widened effects of structural inequality for women in South Africa have resulted in varied experiences (Burns, Tomita, & Lund, 2017). The study problematised the unresearched and not well articulated social construct within the career experiences of women working in a telecommunication company in South Africa. This article argues that the meaning ascribed to the socio context and equity policy can better describe the dimension of the broader issue of gender inequality in post-apartheid South Africa. The study contributes to discourse analysis methods where discourse analysis was used to explain the experiences of three women who are senior managers with at least ten years of experience. The discourse-based understanding of the experiences of women in this study was reframed into and within the interactions of equity policy deliberation, societal factors and the organisational context model. These interactions allowed interpretation of the career choice for women and what it means for personal development. The model of career experience depicts strong alternative views on a career path for women. The results of this study provide unique findings for justice regulation in the workplace for women in South Africa.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"A European eco-social investment constituency? Unpacking public opinion towards EU green, social investment and social protection policies in 15 countries","After years of deepening of the so-called European social dimension, green policies to reduce pollution and mitigate the consequences of climate change have recently taken pride of place in the EU's agenda. What do citizens think of EU green and social policy objectives? Do public preferences for these two policy areas relate, or, by contrast, do trade-offs emerge? Recent research has in fact highlighted that an «eco-social divide» - i.e., a trade-off in public support for social and green policies - is likely to emerge in advanced welfare states. This article bridges the debates on eco-social divides and the EU (eco-)social dimension by analysing original data collected in 2021 across 15 member states. Extant empirical studies on the eco-social divide have conflated all kinds of social policies into a single «social» dimension. We distinguish between preferences towards different types of social policies, which find support among different constituencies: social investment (education, activation, childcare) and social protection (cash transfers to those out of work). Our findings reveal that highly educated middle classes form the core of a potential coalition supporting an «eco-social Europe», as they appreciate both EU social investment and green policies. Lower skilled respondents and those most concerned with job security are generally less supportive of green policies, being potentially afraid of their distributional consequences, and favour social protection against both «old» and «new» social risks. Failure to address their concerns may not only lead to increasing inequalities, but also erode the political bases of the EU green agenda.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A Eurozone Reinsurance Union to tackle inequality? SURE as a pathway through fiscal solidarity hurdles,"How to explain the resurgence of fiscal solidarity in the EU amidst the pandemic? After the Euro Area debt crisis, moral hazard concerns seemed to preclude any form of cross-border fiscal solidarity in the EU. The creation of SURE, an EU financial tool to support national short-time work schemes however showed that innovative solutions could be found to not only reduce the asymmetric impact of different risk exposure across EU countries, but also mitigate within-countries’ inequalities in job loss risks. Drawing from document analyses and 17 interviews with EU and national policymakers, this study explores the politics underpinning SURE’s adoption following a decade of heated and unsuccessful debates on the European Unemployment Reinsurance Scheme (EURS). Through the lens of ‘purposeful opportunism’, the article illustrates how the Commission leveraged on prior EURS insights and an emerging consensus on short-time work schemes to craft a politically acceptable solution. Overall, SURE helped position the Eurozone as a Reinsurance Union or a holding environment for national welfare states. Looking ahead, exploring ways to propel the Union as a more permanent ‘second line of defence’ against macroeconomic shocks could contribute to further substantiating new, EU-wide, social rights codified in the European Pillar of Social Rights.",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
