text,labels
"For those individuals, out-of-pocket expenses average 78% of average annual income in rural areas, even with the new insurance system. For most of the decade to 2003, the number of visits to township medical centres (hospitals) had been falling, while in urban areas a similar institution did not exist. The two new insurance-based schemes were accompanied by a strategy to orient people to existing township centres and to create new urban community health centres at the level of the neighbourhood committee.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Alastair Wood co-ordinated the production process, Maria Consolati and Louis Scott provided invaluable secretariat assistance. For example, the majority of poor people are principally dependent on agriculture but, in turn, society is dependent on farmers managing land well to sustain water supplies, biodiversity and other environmental services. Such relationships are dynamic and increasingly intense: climate change, rising population, resource scarcities and price volatilities put them all under pressure.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In the present case, LCOE were calculated including a carbon price of USD 30 per tonne of CO2. The advantage of nuclear energy in this context is that its average cost remains very stable in the light of changes in the fuel or in the carbon price. In particular, it is protected against fuel price changes by the low proportion of fuel costs in the total lifetime costs of nuclear power generation. Overnight costs include construction and contingency costs but exclude IDC.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"It builds on the nine years of basic education (six years of primary school and three years of junior secondary school). Students entering senior secondary school can attend either a more academically oriented school or vocational school. This applies in both the Islamic and non-Islamic systems. Formal senior secondary education comprises general education (sekolah menengah atas, or SMA), vocational education (sekolah menengah kejuruan, or SMK), Islamic senior secondary schools (madrasah aliyah, or MA) and Islamic vocational education (madrasah aliyah kejuruan, or MAK). This chapter concentrates largely on the provision of academic senior secondary education, while Chapter 5 considers the vocational side. Work is under way to develop community colleges and alternative routes to further and higher education.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Several hotels and universities have also contracted private firm to construct wastewater treatment plants. Certain groups of consumers - particularly in industry tourism, commerce and agriculture - are expected to pay a tariff reflecting the full cost of water service provision. An increase in the water tariff was approved in late 2010, potentially helping to improve cost recovery, but the Ministry of Water and Irrigation stated in June 2012 that tariffs would not increase further in the near future.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Eventually, a higher discretionary income yields a diversified demand for manufactured goods, as demand and consequently expenditure shifts away from agricultural products towards manufactured goods. This new demand, in turn, leads to the creation of new industries and new varieties of products in the economy (process of diversification), which is a key component of sustainable long-term economic development (Saviotti and Pyka, 2004). Demand for new products as well as the desire of firms to become more profitable triggers a process of diversification and consolidation within the manufacturing sector.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Indeed, the level of benefits provided by NC schemes is often too modest. Given the large differences between contributory and NC pension benefit levels, even full NC coverage does not necessarily mean equal protection or equal rights. In fact, most countries have adopted means-tested designs in their NC pension pillars and universal schemes exist only in a few of them.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Recognising that this could not continue indefinitely, attention has turned to the management of water demand by measures such as water pricing mechanisms, reduction of water losses, water reuse and recycling, increasing the efficiency of domestic, agricultural and industrial water uses, and water saving campaigns supported by public education. Reducing water demand can bring additional benefits in decreased pollution discharges and lower energy consumption. At the household level, this is largely a matter of combining water-efficient installations with raising awareness, industrial users have reduced water use by recycling, reuse, changing production processes, using more efficient technologies and reducing leakage.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"These signs are topped with a distinctive yellow beacon cap and walking person icon. These features makes the signs easy to spot within the urban environment and when viewed from a distance. Each monolith has two maps, a finder map which displays a 5-minute walking circle, and a planner map which displays a 15-minute walking circle. The maps illustrate significant landmarks in 3D, helping users identify the urban environment and also serving as 'mental navigational tools’.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In the last decade, and particularly since 2010, the number of discharges per capita has tended to decrease, and is now in line with the OECD average mentioned previously. For example, rural dwellers represent 43% of the population but only 32% of hospital attendances. In the absence of additional information, it not possible to determine whether or not this difference signals disparities in access for rural populations, and if so, whether the drivers are geographic, cultural or infrastructural. No data appear to be collected on access to care from the patient perspective, which would aid in understanding the nature of (and remedies for) barriers to access. Overall, it is not possible to determine with the available data whether patient income or socio-economic characteristics play a role in reaching the hospital gates or being admitted. Uneven access probably also stems from the inability of facilities across regions to provide the same services.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"This paper examines the effects of child, early and forced marriages (CEFM) within the Commonwealth, with a specific focus on East Africa, and highlights how to best address the issue using international, regional, and national legal norms and judicial processes currently in place. The East African countries examined are Kenya, Rwanda, Uganda and Tanzania. The introduction is then followed by the background section which gives a historical overview of CEFM at the global level.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"To respond to these new challenges PSV has been encouraged to develop strong links with business and enterprises, to cover remote areas and to cater for less affluent students. It analyses the impact of the dual sector universities in Australia, short cycle higher education in Scotland, three sub-sectors of Norway’s tertiary education and the emerging non-university higher education in Italy, as well as the vocational education and training in Spain. It discusses the issues of transition, participation and collaboration of different types ofpost-secondary education and analysis the impact of policy changes.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"At the same time, highly unequal countries, like South Africa and Brazil, have relatively stable proportions of the population that believe incomes should be made more equal. The shift in preferences towards redistribution in the BRICS shown in Figure 4.12 is in line with similar findings for OECD countries (OECD, forthcoming). Only in a few OECD countries has no change been found since the late 1980s. Of course, the view that “incomes should be made more (or less) equal” says little about the preferred method for achieving such a change. How these attitudes towards inequality translate into concrete government policy, such as tax and transfer schemes or public service provision, is an important part of the social contract in every country.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Thus,for example, the stigma attached to welfare recipients or the poor increases their disadvantage. Similarly, dignity and recognition wrongs can cause disadvantage.54 Undervaluing women’s work is a recognition wrong that directly causes socio-economic disadvantage; hence the right to equal pay for work of equal value is an important synthesis of the first two dimensions of the right to equality: redressing disadvantage and addressing stigma and stereotyping. This step has been taken by both the CESCR and the CEDAW Committee. Reporting Guidelines”, para 29; CESCR, Ecuador, op.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In Bandung City, 44% of total revenue in 2016 is expected to come in the form of transfers from the national government. A common problem w'ith such automatic transfers is the way they are calculated. The General Allocation Fund is partly allocated based on the registered population in the local governments and does not take into account unregistered population, which is high in the City of Bandung.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Much of the true social, economic and environmental damage of the aftermath of disasters has been undocumented and more needs to be explored on the vulnerability of small and island states, where retreat from the threat is not an option and where those most at risk to the impact of the aftermath may be left unattended and at critical risk. This can amount to over 70 per cent of the total death toll. Some of this arises from the destruction of basic service infrastructure and the disruption of services, when staff, if they can get about, discover vital elements of services which may be damaged or destroyed beyond effective operational use and cannot be fixed.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"It deals with educational outcomes for these groups and analyses the main programmes targeted at them. The chapter places particular emphasis on areas of priority for Chile such as effective ways to use extra resources for disadvantaged students, the monitoring of the learning outcomes of specific student groups, and reflecting Indigenous cultures in the Chilean education system. The chapter also reviews strategies for rural education and the provision and funding of special needs education. First, it describes educational outcomes for these groups of students. Second, it considers the main programmes targeted to specific groups and analyses their strengths and challenges. Finally, the chapter provides some specific policy recommendations.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The spatial structure and economic development of cities are the most prominent components of these national urban policies. When policymakers decide on important issues such as poverty reduction and economic development, then they classify the activities as either rural or urban. In many instances however, this distinction has been used to show differences between the two settlement patterns, and consistently has overlooked their interlinkages, complementarities and synergies.111' This has been against recorded historical development trends which have shown that, urban-rural linkages include important flows of people, natural resources, capital, goods, ecosystem services, information, technology, ideas and innovation. These are important drivers of economic activities and contribute significantly to overall poverty reduction in a region.*1""This illustrates interdependent, intertwined and complementary functional and productive settlement systems. Strong linkages among urban, rural, peri-urban and other settlements enhance sustainable development, because they channel resources to where they have the largest net economic and social benefits.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Groundwater has been discussed in the context of pricing and financing (OECD, 2009a and 2009b), energy (OECD, 2012b), risk management (OECD, 2013e), and broader perspectives covering climate change (OECD, 2013d and 2014a). Groundwater is also featured in the reviews of water reforms at the country level (e.g. Fuentes, 2011; OECD, 2013b). All these reports include sections, sub-sections, paragraphs, or illustrations that relate to groundwater, but they do not convey policy conclusions specifically geared towards the managers of specific types of groundwater, especially in the context of agriculture. First, a consistent observation is that groundwater is generally under-studied and there is a need for more in-depth assessment of groundwater stocks, use, and management practices.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Further, some documents cannot be approved without a public inquiry'. This is case for the SCoT, PLU/PLUI and SRADDET. Alternatively, a land use authority can also decide to organise more open and participatory forms of engagement to obtain some of the inhabitants and users’ opinions through such practices as citizen conferences, focus groups, opinion polls, public meetings and information leaflets. This latter path has the potential to achieve a consensus among a full set of stakeholders, but it is much harder to organise, and there is always the possibility that no mutually agreeable resolution will emerge.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Although the impacts of these imbalances are not fully apparent in the short run, they pose formidable challenges to the sustainability of development of the LDCs, particularly in the long run. The production system, especially in the agriculture sector, and the livelihoodsof alargemajorityof the people livingin rural and fragile areas are also adversely affected because of the increased frequency of droughts and other extreme weather events associated with climate change. Thus, as ensuring food security becomes increasingly important in these countries as the population grows, measures are needed to protect natural capital and address ecological imbalances.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Some of these interlinkages and synergies are fundamental to facets of building climate change resilience and reducing inequalities. The interlinkages between climate change and other dimensions of development are also well reflected in other Goals. If the frequency and intensity of climate hazards increase, it will be harder for countries to end poverty and hunger, achieve food security, improve nutrition, promote sustainable agriculture and ensure healthy lives (Goals 1-3).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Those in the informal sector are often hit hardest by external shocks; lacking effective social protection coverage, they rely on the flexibility of shifting between different, if low-paid, tasks. When adversity strikes they are more isolated, with less access to networks and relationships of support. They can also be disadvantaged when it comes to emergency relief.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Foster capacity-building at all levels of government. This implies combining investment in physical water and sanitation “hard” infrastructure with the provision of “soft’ infrastructure, which is essentially the institutions upon which water outcomes rely. The development of skills, technical expertise and knowledge and the availability of staff and time are preconditions for effective governance of water policy.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"At federal level, the National Water Commission (CONAGUA) is the main body in charge of water planning, financing and strategic setting; there is no overarching framework for the provision of water services which, according to the Constitution, is the responsibility of municipalities with varying levels of capacity and resources. The 1992 National Water Law has gradually transferred water resource responsibilities to 13 river basin organisations, which operate as CONAGUA implementing agencies. While some progress has been achieved in better managing interdependencies across stakeholders and creating an overarching framework for water resources management, much remains to be done to overcome the scattered regulatory framework for water services. Irrigation units typically operate without a legal identity and are not organised to voice their concerns.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In terms of effective power generation (the actual yield with which the generating plants operate), in 2030 this would represent 5.3% of the electricity matrix, up from 2.9% in 2015 (see figure V33). Proyectos Estrategicos para Seguridad Energdtica Regional (PRESER)"". Proyectos Estratdgicos para Seguridad Energdtica Regional (PRESER)'.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Pursuant to the judgement, individuals licensed to possess and consume cannabis under the Marihuana for Medical Purposes Regulations may now possess cannabis derivatives for their own personal use, in addition to or instead of dried cannabis herb. Also in June 2015, Health Canada announced amendments to the Narcotic Control Regulations and the Marihuana for Medical Purposes Regulations to further strengthen public health and safety. The new measures respond to requests from medical licensing bodies for increased information on how doctors are authorizing cannabis use.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Early marriage, also refers to marriages where both spouses are 18 years and over but certain factors make them unready to consent to marriage, for example their level of physical, emotional, sexual and psychosocial development, or lack of information regarding the person’s life options.10 Within the context of the law in East Africa, CEFM does not have a concrete definition. Most information gathered on CEFM places child marriages into two categories: those married before 15 years and those married before 18 years. This categorisation is of importance as it enables those researching CEFM to understand the trends in various countries.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
This points to the possibility that the effects which reductions in inequality have in terms of decreases in poverty levels may be greater than the effects of increases in mean income levels. One possible explanation for this is that increases in income levels are transmitted to the poor segment of the population in the region in a disproportionate (or unequal) manner. These results are similar to those obtained by Franga (2010). This analysis is presented in the following sections.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In addition to rising sea levels and global temperatures, extreme weather events are becoming more common and natural habitats such as coral reefs are declining. These changes affect people everywhere, but disproportionately harm the poorest and the most vulnerable. Concerted action is urgently needed to stem climate change and strengthen resilience to pervasive and ever-increasing climate-related hazards.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"In contrast, when electricity firms are controlled by investment funds, rather than forming part of transnational companies, there is less opportunity for operational synergies and knowledge transfers within the enterprise. If the presence of investment funds in the sector were to expand, it could produce a business model in which ownership of the assets (by the investment funds) is separated from their management ( in the hands of the electricity firms), in a system similar to that operated by some hotel groups. In that year, it purchased 38% of EDENOR, one of the leading energy distributors in Argentina. Later it increased its interests in this country with other transmission and generating companies.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For most services, the actual consumption approach will be the most appropriate, if actual beneficiaries can be identified. In some cases an insurance value approach may be applicable or even preferable. Such an approach imputes the “insurance value” of coverage to each person based on specific characteristics (such as age, sex, socio-economic position).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The implicit tax penalty for married women should also be removed, as the Federal Council is currently considering. More flexibility in working arrangements could further alleviate women’s cost of reconciling work and family life. For instance, facilitating flexi-time, annualised hours, job-sharing, part-time and telework options for both women and men, and creating paternity and/or consecutive, take-it-or-leave-it parental leave could facilitate transition in and out of the labour market.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"An appraisal process that only requires one meeting between school leaders and evaluators rather places emphasis on the question whether a result has been achieved or a skill has been demonstrated. Based on an extensive review of literature on school leader appraisal, Leon et al. ( A high frequency of meetings and school visits may increase the effectiveness of these tools to gain a better picture of a school leader’s performance and produce valid information (Pashiardis and Brauckman, 2008). However, the time and efforts required for the longer-term observation of school leaders also involves costs that need to be considered (Ginsberg and Berry, 1990).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"There are many unqualified teachers in schools, as it is difficult to hire qualified teachers. One indication of the recognition of the important role of teachers in this context is Alberta’s inclusion of additional questions in the 2018 OECD Teaching and Learning International Survey pertaining to teachers’ and school leaders’ understanding of issues related to Indigenous cultures, history and working with Indigenous students, as well as on relevant professional development. The holistic approach of Indigenous peoples stresses how much these contribute to the overall well-being of children, as well as everyone else, in addition to factors such as material advantage and disadvantage. The trauma suffered by Indigenous peoples, including through the residential school system, is still acutely felt by many. Indeed, we were told that the symptoms of trauma may be increasing rather than diminishing with the passage of time, exacerbated through intergenerational relationships. Against this bigger picture, specific surveys of particular provinces and territories, and comparing Indigenous and non-Indigenous young people, can be better understood (Freeman, King and Pickett, 2016).","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In other words, factors that might make a child more prone to experiencing deprivation in a single domain might not make that child more liable to being cumulatively deprived and vice versa. Living in a less densely populated area, for example, has little impact on children’s risks of domain deprivation (with the exception of Germany) and even predicts a lower probability of deprivation in the environment domain. Nevertheless, a child living in an intermediate or thinly populated area in either France or the UK faces higher odds of experiencing cumulative deprivation.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In Australia, where a broad definition of temporary employment also includes casual workers (Box 4.1), this type of work accounts for 85% (43%) of part-time (full-time) workers with a temporary employment contract. Some people work part-time because they wish to do so and would not take on full-time employment, while others do so because there is no full-time employment available. There are, however, large variations across countries. In Greece, Spain and Italy, over 60% of part-timers want to work more hours but could not find full-time jobs. For instance, there is a well-established negative relationship between the level of GDP and the self-employment rate (Acs et al.,","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Female genital mutilation is sometimes a precursor to child marriage as it is associated with a woman’s “coming of age”. Female genital mutilation may also result in a variety of reproductive health issues, including maternal and infant mortality and obstetric fistula. Pre-natal sex selection and sex selective abortions are forms of discrimination against women and are symptomatic of the devalued status of women in society. In addition, over the past 60 years, numerous provisions in international legal and policy frameworks have called for legal measures to address “harmful practices”.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The programme relied on strategic integration of all relevant agencies involved in delivering mental health services for this group, and identifying children's needs in the school context. In addition to training teachers, this programme also consisted of social and emotional learning programmes. Parents and community' were also involved in the learning and social aspects of the initiative.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Although a wide range of public health initiatives are in place, their impact is rarely evaluated. Furthermore, a recent WHO evaluation against essential public health functions found weaknesses mechanisms for perfonnance and accountability (particularly at sub-national level) and training of the public health workforce. A good example of this is the Comision de Enlace Salud, Industriay Comercio (COESAINCO, the Commission for liaison between health, industry and commerce), established in 2012. This brings together the Ministries of Health, Economics, External Trade and the Presidency, and a number of national trade and industry bodies (including those representing the pharmaceutical sector).","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Only 14 LDCs have even limited oil-refining capacity, the output of which is overwhelmed by that of the other manufacturing sectors. Similarly, available national accounts and employment data typically group together energy-related utilities — electricity and gas — and water supply, with no further breakdown. In households where both women and men are engaged in wood collection, the gender distribution of time savings may also differ significantly from that of time allocation: even if women spend more time than men collecting wood, a greater share of the time savings may accrue to men. This should be achieved through both centralized and decentralized energy technologies and systems, combining the three general models of grid extension, mini-grid access and off-grid access (AGECC, 2010).","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"The conclusion is that the evolution of the two components of the greenhouse gas intensity measure should be separately identifiable. The ratio itself could give an indication about the greening of production and about structural economic shifts, but not necessarily about the greening of growth. A decline in the emission intensity of production gives no indication of whether such a reduction has been achieved through genuine efficiency improvements or changes in the energy mix, or by substituting away from energy-intensive production through purchases of carbonintensive intermediate products abroad, among a number of other explanations.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Some countries have responded to shrinking populations with policies to attract migrants, especially younger people who can fill gaps in labour forces. By the 1970s, the fertility transition had occurred in Australia, Japan, and all highly developed countries in Europe and North America. Fertility in China fell sharply in the 1970s in response to policies to promote later and less frequent childbearing, and the introduction of the country’s 1979 family planning policy, which generally limited couples to one child.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"These are comprehensive and contemporary in their thinking and approaches, and align the country with international agreements and the EU approximation process. They set the country on the right path towards sustainable development. The challenge facing the Government now is to complete the high-priority strategic actions set forth and, in partnership with public enterprises, public institutions, the private sector, and the public, to apply the products of those actions in day-to-day administration. Its overall goal is to increase the contribution of the forestry sector to the national economy and rural development through sustainable forest management; reliance on renewable resources; protection of the local and global environment; and the delivery of products and services for improving the quality of life of all citizens.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"Of mammals, four species are extinct at the national level and five species are critically endangered (lynx, leopard, striped hyena, red deer and wild goat). Of the two species of tur - West Caucasian tur {Capra caucasica) and East Caucasian tur (Capra cylindricomis) - the West Caucasian tur has the smallest population size and is found in only a few areas of Georgia. Among ungulates, the rarest species is the wild goat (Capra aegagrus), found only in Tusheti Protected Areas with an estimated population size of 210.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
